StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,solv_dip,LsoluHsolv,LsolvHsolu,DeltaG_sol,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,,,,,,,,,,,,,,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOC1=CC=C(NC(C)=O)C=C1,Train,-0.32994314,179.219,134.6,151.713,-593.968584,6.8154,0.23896,0.18227,-0.014463,410.9635925,-1.25054,-1.58458,-0.76817,0.68213,-1.86993,,,,,,,,,,,,,,26,6614.5,13791,18126,0.330357143,0.507684629,0.621848739,2,10.05538851,-190.1454509,200.2008394,5602,0.035737387,0.016231726
CQIUKKVOEOPUDV-IYSWYEEDSA-N,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C,Train,-0.704648873,250.251,176.025,209.185,-879.784339,8.0097,0.17073,0.20569,-0.016851,435.1828613,-3.22952,-0.90833,-0.71153,0.81379,-3.22952,,,,,,,,,,,,,,32,12079.5,14031,18757.5,0.619995758,0.856501376,0.875327765,7,71.38909708,-211.1723502,282.5614473,7566,0.034062767,0.010192894
CSEWAUGPAQPMDC-UHFFFAOYSA-N,NC1=CC=C(CC(O)=O)C=C1,Train,-1.316098643,151.165,199.525,112.118,-515.400234,0.6887,0.24102,0.18255,-0.016036,345.203949,-1.37355,-0.6846,-0.87488,0.83167,-2.24843,,,,,,,,,,,,,,20,7755,11625.5,14054,0.527777778,0.613259669,0.992857135,7,-14.86969431,-167.3410207,152.4713264,2441,-0.046960231,0.015795099
CUCUKLJLRRAKFN-KKIBXBACSA-N,CC(=O)C1C(=O)C=C2OC3=C(C(C)=O)C(O)=C(C)C(O)=C3[C@]2(C)C1=O,Train,-1.995985874,344.321,203,201.405,-1221.911787,4.6305,0.17404,0.21315,-0.021121,535.9703979,-4.24306,-0.6428,-0.78089,0.63849,-4.24306,,,,,,,,,,,,,,41,12719.5,16212.5,25280,0.498412237,0.664987417,0.781346078,6,95.55926068,-241.7245341,337.2837948,10156,0.032953464,0.013598136
CUYKNJBYIJFRCU-UHFFFAOYSA-N,NC1=CC=CN=C1,Train,0.861071993,94.116,62.5,64.955,-303.586224,4.4358,0.23011,0.18769,-0.00998,256.5719299,0,-0.4784,-0.86761,0.42643,-1.34873,,,,,,,,,,,,,,13,5757,7055.5,10773,0.470149304,0.548672566,0.857480766,2,28.12414298,-109.8401055,137.9642485,3250,0.042450538,0.016740271
CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=C1NS(=O)(=O)C2=C1C=CC=C2,Train,-0.188065238,183.188,227,96.675,-948.265075,5.6374,0.1656,0.27192,-0.017912,333.6217957,-2.45494,-0.53422,-0.92507,2.29592,-1.05058,,,,,,,,,,,,,,17,8634.5,9427.5,13963,0.636986301,0.684984032,0.825810151,6,52.22196855,-186.3822761,238.6042447,4528,0.040278867,0.011157497
CWRYPZZKDGJXCA-UHFFFAOYSA-N,C1CC2=C3C1=CC=CC3=CC=C2,Test,-0.029200381,154.211,94.5,118.238,-463.184254,1.3864,0.21687,0.18259,-0.004054,347.3924255,0,-2.53299,-0.48058,0.26105,0,,,,,,,,,,,,,,22,7977.5,8546.5,15484,0.493333333,0.536231884,0.887417219,10,-43.50760843,-66.09063561,22.58302718,1292,-0.025741043,0.002913429
CZGCEKJOLUNIFY-UHFFFAOYSA-N,ClC1=CC=C(C=C1)N(=O)=O,Train,0.802944895,157.556,82.86,92.629,-896.312771,4.4075,0.14354,0.25964,-0.008022,305.4890137,-0.8116,-0.84386,-0.4058,0.50067,-0.28634,,,,,,,,,,,,,,14,5801,8792,13546.5,0.4,0.557522124,0.693750037,6,31.9823042,-108.0422862,140.0245904,2616,-0.041300568,0.011246936
DCDNKSJBRIJYEC-UHFFFAOYSA-N,CC1(CBr)C2CCC1(C)C(=O)C2Br,Train,-0.713251069,310.029,156,151.526,-5608.015223,6.204,0.19018,0.23529,-0.010159,381.8896484,-0.56374,-3.09251,-0.68877,0.61366,-0.61509,,,,,,,,,,,,,,27,12780.5,12912,14304,0.865208019,0.916939333,0.992985652,2,105.0031587,-149.4579092,254.4610678,7798,0.032631581,0.007120627
DCGRTRSBXMXCHW-AFNTYDFCSA-N,CC1(C)C[C@H]2C[C@@H]1CC2(C)CC1(Cl)C[C@H]2C[C@@H]1CC2(C)C,Train,-0.971353173,308.935,79.5,257.538,-1241.764676,3.2171,0.25033,0.2446,-0.003544,534.1370239,0,-7.89837,-0.67658,0.26089,-0.13513,,,,,,,,,,,,,,54,10425,21617.5,22723.5,0.462823035,0.476921354,0.940532109,4,-20.14750272,-53.98464587,33.83714316,1894,-0.028502981,0.003900293
DHNCWGKMISNJQG-UHFFFAOYSA-N,CN(C(=O)C(=O)N(C)N(=O)=O)N(=O)=O,Train,0.072121752,206.115,124,135.848,-826.101488,1.4601,0.14538,0.27717,-0.012924,355.5200195,-2.64422,0.3014,-0.55522,0.64645,-1.94234,,,,,,,,,,,,,,20,8812,12885.5,12931.5,0.625,0.625766871,0.980392157,6,95.75467675,-135.3747377,231.1294145,3201,0.036384371,0.006533625
DMHADBQKVWXPPM-PDDCSNRZSA-N,CC(C)[C@@H]1CC\C(C)=C/CC\C(C)=C\C\C=C(C)/C=C/1,Train,-2.134295072,272.474,60.5,225.89,-780.948647,0.6863,0.22796,0.18775,-0.003906,550.7897949,0,-7.68112,-0.71138,0.26231,0,,,,,,,,,,,,,,52,16300.5,16476,26009,0.583241401,0.625035018,0.929399161,5,-25.31772777,-25.31772777,0,422,-0.023532164,0.002102598
DMLAVOWQYNRWNQ-BUHFOSPRSA-N,C1=CC=C(C=C1)\N=N\C1=CC=CC=C1,Test,0.2903599,182.225,67.895,161.387,-572.637823,0.0004,0.16524,0.20936,-0.005604,407.1877441,0,-2.1647,-0.24841,0.26174,-0.40532,,,,,,,,,,,,,,24,6086,11943,19398,0.285714286,0.529953917,0.533898305,3,1.441012107,-77.44185643,78.88286853,3147,-0.024608153,0.004798918
DMSHKWHLXNDUST-UHFFFAOYSA-N,CC1=CC=C(NC(N)=O)C=C1,Train,-0.751730463,150.18,182,107.897,-495.531858,5.5143,0.23881,0.19105,-0.01631,349.8432007,-0.71792,-0.81489,-0.89765,0.80505,-2.26201,,,,,,,,,,,,,,21,6244.5,10927,15873.5,0.388297872,0.60108956,0.60989022,2,11.10888598,-169.260669,180.369555,3992,-0.042399967,0.019113294
DNVPQKQSNYMLRS-APGDWVJJSA-N,[H][C@](C)(\C=C\[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C,Test,-2.004575462,396.657,162.5,341.146,-1168.107784,2.0268,0.22613,0.17515,-0.008497,702.1137695,-0.80152,-9.99057,-0.80152,0.50849,-0.80152,,,,,,,,,,,,,,73,11053.5,27150.5,34480,0.318340144,0.395203185,0.818791934,4,-25.78869528,-66.47630751,40.68761224,1294,-0.043599646,0.013240063
DPJHZJGAGIWXTD-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(F)C=C1,Train,0.581404403,174.196,77.5,104.386,-919.316253,5.7992,0.20028,0.25782,-0.014354,337.1330872,-1.97304,-1.80028,-0.98652,2.15551,-0.16675,,,,,,,,,,,,,,18,7992,10429.5,13708.5,0.580715778,0.668674699,0.82300885,2,67.42450375,-171.3210822,238.745586,6494,0.036764026,0.009379909
DPZSNGJNFHWQDC-ARJAWSKDSA-N,N\C(C#N)=C(/N)C#N,Train,0.142253513,108.103,182.5,69.273,-373.764369,8.9944,0.19222,0.19428,-0.024375,277.3440857,0,0.63579,-0.85036,0.44461,-2.39695,,,,,,,,,,,,,,12,6438,6460,11399.5,0.52983075,0.560344828,0.933884289,2,58.67500013,-203.3341832,262.0091833,4472,0.058588816,0.02329529
DYIIYHDGKUVKLC-KLOSEMCISA-N,CC1(C)C[C@H]2C[C@@H]1C\C2=C/C1(C)C[C@H]2C[C@@H]1CC2(C)C,Test,-1.204876146,272.474,83,231.794,-780.963369,0.539,0.25276,0.19986,-0.002045,521.7176514,0,-7.69819,-0.67356,0.25339,0,,,,,,,,,,,,,,52,11557,20418,21506.5,0.503531882,0.57329898,0.936690124,1,-2.851845672,-2.851845672,0,125,-0.022814765,0.001542278
DYIOSHGVFJTOAR-JGWLITMVSA-N,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)CS,Train,-3.297191289,198.24,92.5,144.342,-1011.207179,1.6546,0.24107,0.23066,-0.015335,382.9890747,-4.03662,-0.60053,-0.81336,0.52458,-4.13378,,,,,,,,,,,,,,26,8411.5,13815.5,16068.5,0.521052632,0.643063335,0.923188433,13,46.11473992,-125.0796811,171.194421,1739,0.036590525,0.010689852
FBFHQXIENYXRKB-UHFFFAOYSA-N,ClC1=NC(OC2=CC=C(C=C2)N=NC2=CC=CC=C2)=NC(Cl)=N1,Train,-1.016460387,346.175,169.25,210.666,-1846.223958,4.0769,0.15557,0.21793,-0.011682,578.9857788,-0.48942,-0.01167,-0.54691,0.7757,-2.35254,,,,,,,,,,,,,,32,10810.5,22493.5,24057.5,0.3728539,0.42933506,0.782484964,9,94.75354111,-85.81558846,180.5691296,2494,0.027085787,0.004011248
FBHSPRKOSMHSIF-GRMWVWQJSA-N,[H][C@@]12C[C@H]3OC(C)=N[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Test,-1.011129134,441.524,257.075,294.184,-1477.012369,6.7262,0.19447,0.21526,-0.023123,665.2033081,-3.7731,-3.94679,-0.7985,0.83005,-4.33284,,,,,,,,,,,,,,63,16527.5,24750.5,28136,0.500615128,0.6132279,0.984758114,8,121.2964329,-277.9358699,399.2323028,12877,0.030080412,0.008507326
FDAOZIJGWOTKQT-UHFFFAOYSA-N,O=N(=O)C1=CC=C2N=C3C(=CC=CC3=N(=O)C2=C1)N(=O)=O,Train,-1.456674182,286.203,240,185.998,-1055.685589,5.6771,0.10395,0.2337,-0.017975,452.1817017,-2.04245,-0.40444,-0.48554,0.52139,-1.30314,,,,,,,,,,,,,,27,8558,12344,22423,0.374892885,0.561868871,0.654408753,4,159.6369092,-217.2817887,376.9186978,9899,0.038076442,0.012199496
FDTZUTSGGSRHQF-UHFFFAOYSA-N,OC1=CC=CC=C1C(=O)NC1=NC=C(S1)N(=O)=O,Train,-2.843870159,265.249,254,147.607,-1248.446893,8.7141,0.1351,0.2271,-0.018996,445.2589417,-2.19668,0.02561,-0.71555,0.70098,-2.34332,,,,,,,,,,,,,,25,8001.5,14558.5,21184.5,0.337480853,0.552492021,0.60739036,6,140.6952734,-216.1422503,356.8375237,7519,0.045475988,0.024377522
FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,Train,-1.170336471,236.273,191,166.566,-763.411346,5.7923,0.19472,0.1975,-0.014688,439.3760986,-0.72169,-1.30279,-0.89064,0.82302,-2.1388,,,,,,,,,,,,,,30,10629.5,15391,17488.5,0.613107594,0.70048973,0.830606054,5,-25.23508064,-209.5299402,184.2948596,4605,0.029008119,0.005397985
FJKROLUGYXJWQN-UHFFFAOYSA-N,OC(=O)C1=CC=C(O)C=C1,Train,0.215759855,138.123,213.5,96.483,-495.991592,2.7007,0.20162,0.22186,-0.012302,303.2815857,-2.09386,-0.02428,-0.72801,0.80902,-2.09386,,,,,,,,,,,,,,16,5799.5,8650,13679.5,0.380368098,0.543859649,0.678763036,6,39.31931003,-99.2376869,138.5569969,1821,0.051461215,0.025259442
FKJARBPQBIATJT-UHFFFAOYSA-N,C(N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,Test,-0.413887927,259.351,86.75,211.528,-788.77749,1.5315,0.23194,0.16857,-0.006918,510.4165955,0,-3.79675,-0.48915,0.26286,-0.48915,,,,,,,,,,,,,,37,16256,17122.5,19690.5,0.609898711,0.620401778,0.940085778,10,-11.4316114,-91.87093769,80.4393263,2492,0.025537785,0.003918795
FMXDVBRYDYFVGS-UHFFFAOYSA-N,COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,Train,0.796849864,243.133,67.625,165.674,-960.201787,3.086,0.11492,0.29288,-0.015022,390.0973511,-2.80057,-0.05434,-0.54999,0.50628,-1.28261,,,,,,,,,,,,,,22,10245.5,10393,18109.5,0.465500739,0.534591202,0.951033248,4,211.8425828,-115.8241645,327.6667473,7641,0.042882705,0.01169085
FPBODWXATDKICU-FLFWOSPYSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC,Test,-1.907416736,484.806,98.25,443.861,-1441.019347,2.879,0.25244,0.20919,-0.008772,897.1449585,-1.21729,-12.16757,-0.68811,0.84041,-1.21729,,,,,,,,,,,,,,91,12412.5,36699,42882.5,0.254446178,0.288701098,0.873134328,5,-86.97617431,-97.36241808,10.38624377,1936,-0.046827416,0.017168713
FQEPJUOLUDFINX-MYJWUSKBSA-N,[H][C@@](CC(C)=O)(C1C(=O)OC2=CC=CC=C2C1=O)C1=CC=CC=C1,Train,-0.439803394,308.334,172.5,221.33,-1034.364079,1.7579,0.16888,0.22641,-0.017169,533.9113159,-2.27458,-1.98822,-0.77733,0.84516,-2.27458,,,,,,,,,,,,,,39,15451.5,16161.5,21977,0.598562114,0.700598802,0.840137966,9,-30.21056381,-253.0031767,222.7926129,3747,0.029663746,0.006225426
FRASJONUBLZVQX-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C=CC=C2,Train,-0.267898415,158.156,125,138.219,-535.048156,2.0616,0.12724,0.2502,-0.009456,327.8640137,-1.13174,-0.46956,-0.56587,0.52073,-1.13174,,,,,,,,,,,,,,18,7394,8116,15242.5,0.410596026,0.45323741,0.900662252,6,11.56275152,-121.9658969,133.5286484,2576,0.032184287,0.007031262
FRWPFWGOLVNOHP-UHFFFAOYSA-N,CC1=CC=C(C=C1C)C(C1=CC(C)=C(C)C=C1)C(Cl)(Cl)Cl,Train,-0.071257149,341.708,82.5,246.986,-2077.716853,4.0163,0.20812,0.20752,-0.007271,565.3149414,0,-4.84215,-0.70357,0.29466,0.07123,,,,,,,,,,,,,,40,14899.5,20729.5,21983,0.585253456,0.709870802,0.934336463,10,-69.79932871,-150.3317608,80.53243208,4542,-0.026611076,0.003399853
FTKDWGYLOVAMPG-UHFFFAOYSA-N,[H]C(C)(Cl)C(=O)NC1=CC=C(C)C=C1,Train,0.153245609,197.664,121.335,149.185,-978.361377,2.8015,0.22511,0.20166,-0.008701,409.8485718,-0.66642,-1.92254,-0.70216,0.6777,-1.37826,,,,,,,,,,,,,,25,7855,13416,18162,0.45050125,0.53976145,0.814119434,5,12.90937336,-95.18520611,108.0945795,2489,-0.038242349,0.015419987
FVWJYYTZTCVBKE-ROUWMTJPSA-N,[H][C@]12[C@@H](CC[C@]1(CO)CC[C@]1(C)[C@]2([H])CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(C)=C,Train,-1.692333915,442.726,252.5,357.402,-1323.059587,2.0565,0.24584,0.21279,-0.011177,672.0888062,-1.60654,-10.79472,-0.80459,0.51133,-1.60654,,,,,,,,,,,,,,82,16658.5,24476.5,29845,0.493425069,0.665343881,0.716353285,8,15.80173205,-92.38453251,108.1862646,1916,0.03327307,0.016313674
FWSMXVXIXPWASU-KACYJRNJSA-N,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)C1=CC=CC=C1)C=C3,Train,0.035633813,460.613,132.625,335.045,-1465.354661,2.2893,0.19592,0.21101,-0.014666,810.8887939,-2.38723,-6.5722,-0.68817,0.84086,-2.38723,,,,,,,,,,,,,,70,12373,33995,36044.5,0.272366365,0.349375508,0.756729383,14,-109.528552,-201.058513,91.52996099,2373,-0.048087702,0.016654347
FXXDPMMUSACTPR-UHFFFAOYSA-N,CC(N(CCC(O)=O)C(=O)C1=CC=CC=C1)C(O)=O,Train,-1.097448168,265.266,127,191.657,-935.158562,7.602,0.21452,0.2248,-0.021025,479.1122437,-3.39219,-0.64483,-0.72294,0.83006,-3.87389,,,,,,,,,,,,,,34,12531,17468.5,19738,0.495495495,0.731920112,0.81827299,5,32.41055121,-262.2044709,294.6150221,7593,0.038715212,0.018124819
FYMCICGEGWOUKR-VAWYXSNFSA-N,NC(=O)\N=N\C1=CC=CC(=C1)C(N)=O,Train,-1.485741766,192.177,186,117.821,-679.037617,10.5732,0.14719,0.22038,-0.023021,395.701416,-1.34838,0.57963,-0.84887,0.7595,-3.43559,,,,,,,,,,,,,,22,7496.5,11840,18401.5,0.330532432,0.528925687,0.674758374,2,13.48895694,-74.79271274,88.28166968,9759,-0.007663973,0.057793822
FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,Train,0.359498417,135.166,113.5,113.236,-440.175565,5.0171,0.23139,0.20349,-0.011482,329.3980103,-0.68501,-1.21144,-0.76905,0.68719,-1.30689,,,,,,,,,,,,,,19,6307.5,9952,14518.5,0.424418605,0.632780035,0.654679137,2,20.98895229,-139.9624453,160.9513976,4377,0.036772081,0.018091454
GKWPCEFFIHSJOE-UHFFFAOYSA-N,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,Test,-1.863660145,356.809,201.075,230.502,-1529.439393,6.3529,0.18002,0.21125,-0.014574,568.4816284,-2.0967,-1.66686,-0.71382,0.70383,-2.96941,,,,,,,,,,,,,,42,13361,18629.5,26156,0.42821201,0.626197503,0.683107204,3,-28.32719371,-255.6025266,227.2753328,6997,0.03216914,0.009711068
GMYLVKUGJMYTFB-UHFFFAOYSA-N,CCN1C(=O)CNC2=C1N=C(C=N2)C1=CC=C(N=C1C)C1=NN=CN1,Train,-2.864041347,336.356,269.45,241.511,-1132.391647,7.9284,0.18312,0.19586,-0.023819,567.0839844,-0.65174,-0.10912,-0.71725,0.70455,-4.43936,,,,,,,,,,,,,,41,11784,19319.5,27216.5,0.352870065,0.566264217,0.59548689,10,66.78077386,-248.4726475,315.2534213,3642,0.040401567,0.016336051
GMZVRMREEHBGGF-UHFFFAOYSA-N,NC(=O)CN1CCCC1=O,Train,-1.371410923,142.158,151.5,91.479,-494.553428,5.1935,0.24921,0.22142,-0.015228,323.934967,-1.40591,-0.24431,-0.85813,0.70083,-2.74808,,,,,,,,,,,,,,20,8411,10208.5,12535.5,0.641831279,0.761771219,0.932590806,4,56.83832161,-179.8957433,236.7340649,6328,0.033032258,0.006248812
GONDWPCTSYVHPW-UHFFFAOYSA-N,CCCCCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,Train,-2.283762019,452.64,141.5,383.218,-1421.963814,3.6077,0.2377,0.15182,-0.017082,883.7472534,-1.34648,-6.35288,-0.68805,0.83622,-3.48732,,,,,,,,,,,,,,73,20143.5,27177.5,38883.5,0.297082228,0.469222647,0.598337366,8,-175.1341133,-328.7222344,153.5881211,7627,-0.043099808,0.017435015
GOUHYARYYWKXHS-UHFFFAOYSA-N,OC(=O)C1=CC=C(C=O)C=C1,Test,-1.10551814,150.134,247,96.47,-534.0913,1.9457,0.15342,0.2517,-0.011585,322.1708679,-1.93484,0.1479,-0.71779,0.81218,-1.93484,,,,,,,,,,,,,,17,5863.5,9391,14762,0.356321858,0.53913044,0.633509444,5,32.1898365,-123.6115517,155.8013883,2401,0.034279054,0.008463172
GPAPPPVRLPGFEQ-UHFFFAOYSA-N,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,Train,-0.485005165,287.166,148,205.594,-1930.968289,4.9323,0.18018,0.24345,-0.012182,457.7296143,-1.94098,-2.49558,-0.97049,2.18806,0.27014,,,,,,,,,,,,,,25,11362.5,15131.5,18896,0.51627907,0.585253456,0.854961832,3,81.57080914,-149.7503927,231.3212018,3404,0.034481734,0.007937564
GQLZJDIJIIFRPK-UHFFFAOYSA-N,NC1=C(NC2=CC=C(Cl)C=C2)C=C(Cl)C=C1,Train,0.056047153,253.131,91,167.169,-1493.078683,5.982,0.22142,0.17786,-0.0106,450.8615112,0,-1.54445,-0.87678,0.43852,-1.57477,,,,,,,,,,,,,,26,10364.5,14655.5,20020.5,0.453086085,0.599756659,0.709670465,6,122.0436414,-89.50922984,211.5528713,4601,0.043037016,0.016747773
GRWAIJBHBCCLGS-UHFFFAOYSA-N,OC(=O)CN1C=NN=N1,Train,0.190635412,128.09,128,81.745,-486.114355,8.9117,0.21067,0.27228,-0.019453,278.3992004,-1.32806,0.65076,-0.71136,0.81705,-2.07864,,,,,,,,,,,,,,13,6900.5,10025,10105,0.612244898,0.644595202,0.931658669,2,76.7273302,-220.1909218,296.918252,5176,0.057364423,0.02242832
GSTRJEXEASEEIB-WKEGUHRASA-N,CC1(C)[C@@H](CC[C@@]1(C)C(N)=O)C(O)=O,Test,-0.501438686,199.25,168.25,170.442,-671.571776,4.1004,0.238,0.23063,-0.015743,377.1251221,-2.0611,-2.01394,-0.85439,0.83962,-2.91549,,,,,,,,,,,,,,31,10926,13891.5,14305,0.737910632,0.744748561,0.9348552,8,-10.47288923,-158.220477,147.7475878,2252,0.044732286,0.01842483
GUEIZVNYDFNHJU-UHFFFAOYSA-N,OC1=CC=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O,Train,-1.84227779,240.215,196,171.797,-839.128755,2.752,0.13169,0.20668,-0.009342,399.9986267,-2.68193,-0.00185,-0.70683,0.5543,-2.68193,,,,,,,,,,,,,,26,7541.5,10367.5,20374,0.329787234,0.446808511,0.73404251,8,18.72264538,-113.0522051,131.7748505,2788,0.032854592,0.00737286
GVKZASFESNAHJC-UHFFFAOYSA-N,COC(=O)C1=NNN(C)C1=O,Test,-0.958964009,157.129,136,108.522,-584.572343,9.5736,0.19437,0.20986,-0.027397,335.7971191,-1.88201,0.48485,-0.69642,0.79054,-2.46525,,,,,,,,,,,,,,18,6412.5,10602.5,14116,0.422268896,0.651666236,0.653596788,4,-32.29036124,-298.6790231,266.3886619,4250,0.060032056,0.029465489
GXGKKIPUFAHZIZ-UHFFFAOYSA-N,C(SC1=NN=NN1)C1=CC=CC=C1,Train,-0.455931956,192.244,136.5,120.156,-926.725682,6.6133,0.21364,0.22871,-0.014471,383.3955383,0,-1.66064,-0.57583,0.48471,-0.65547,,,,,,,,,,,,,,21,7716,14166,15112.5,0.481834157,0.541463415,0.944827669,3,57.74439171,-160.618138,218.3625297,4179,0.028244986,0.004141779
HCBHQDKBSKYGCK-UHFFFAOYSA-N,CC1=CC=CC(C)=C1C(O)=O,Train,0.412228301,150.177,115.25,120.196,-499.341841,2.1855,0.20566,0.22378,-0.008351,336.7272034,-1.35384,-1.45826,-0.71784,0.82656,-1.35384,,,,,,,,,,,,,,21,9196,9459.5,14656,0.543261706,0.545077749,0.997720043,4,-7.535339774,-89.2170619,81.68172213,1986,-0.04090603,0.014229684
HCTVORVYPUEFSX-UHFFFAOYSA-N,CN(C)C1=CC2=C(NC3=C(C(=C(N(C)N(=O)=O)C(=C3)N(=O)=O)N(=O)=O)S2(=O)=O)C=C1,Test,-2.641848751,438.378,165,283.918,-1907.934825,19.87,0.124,0.19432,-0.033353,605.2167358,-4.20241,-2.16794,-0.95666,2.20152,-1.62708,,,,,,,,,,,,,,44,12622.5,20375.5,28336.5,0.44042345,0.565962014,0.741239896,2,87.51506641,-570.3028539,657.8179203,13598,0.048376079,0.022436714
HDMPHMIWIIZWCE-UHFFFAOYSA-N,NC1=C(NC2=CC=C(Cl)C=C2)C=CC(Cl)=C1,Train,0.116482659,253.131,137,153.754,-1493.078865,3.9324,0.22133,0.17917,-0.010134,449.705719,0,-1.55044,-0.86898,0.43753,-1.56983,,,,,,,,,,,,,,26,9303.5,15763.5,20075,0.395552325,0.568956879,0.671876599,6,144.6402638,-67.19823289,211.8384967,4088,0.044265537,0.016498617
HEBKCHPVOIAQTA-SCDXWVJYSA-N,[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)CO,Train,-2.489457297,152.147,93,103.163,-573.724894,4.2752,0.24614,0.24593,-0.019245,331.596344,-4.02678,-0.17227,-0.81094,0.52284,-4.02678,,,,,,,,,,,,,,22,6925.5,12183.5,13355,0.556179775,0.560813803,0.982306937,7,13.76616666,-188.2878607,202.0540274,4796,0.039683968,0.01787128
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,Test,-2.052242072,206.285,75,182.223,-656.498841,2.5492,0.2316,0.2162,-0.009647,456.4672241,-1.36613,-3.33415,-0.72098,0.83868,-1.36613,,,,,,,,,,,,,,33,9928,16937.5,17990,0.529044875,0.595146314,0.969861117,7,-16.76294264,-93.57831917,76.81537653,1463,-0.044422274,0.01220375
HEWGVSGLMQJYHJ-UHFFFAOYSA-N,FC1=CC(=CC(F)=C1Br)N1C(=O)C=CC1=O,Test,-2.869306476,288.048,197.49,139.943,-3360.035104,5.4897,0.13029,0.23193,-0.012273,399.6911926,-1.13338,1.06762,-0.56669,0.68778,-2.19863,,,,,,,,,,,,,,20,9103.5,13724.5,17747.5,0.474489796,0.617346939,0.718263726,6,114.6520353,-125.7970682,240.4491035,5805,0.040988149,0.010561014
HJHSNTOTXYILIV-UHFFFAOYSA-N,S1C(SC(SC1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,Train,-1.627896947,366.572,225,266.016,-2005.398178,3.1757,0.22122,0.19969,-0.011389,601.2594604,0,-5.45099,-0.56807,0.31564,0.7462,,,,,,,,,,,,,,42,15320,19993.5,25403,0.528647347,0.626867094,0.807860262,4,-31.95582386,-185.946853,153.9910291,6552,-0.028380167,0.0070209
HKEAFJYKMMKDOR-VPRICQMDSA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C=CC2=C1OC=C(C2=O)C1=CC=C(O)C=C1,Train,-1.552847631,416.384,203,295.964,-1488.997353,5.3282,0.1875,0.19417,-0.03317,650.064209,-6.32125,-0.2643,-0.80127,0.5311,-6.32125,,,,,,,,,,,,,,50,14674.5,23936.5,27482,0.557621242,0.583246561,0.875061787,15,3.473296707,-344.0554598,347.5287566,3913,-0.045486198,0.01838127
HLXRWTJXGMHOFN-XJSNKYLASA-N,[H][C@@]12[C@@H](C)CC(=O)[C@]1([H])C(=CO[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC,Train,-1.735336862,388.372,182,252.289,-1414.17535,5.2309,0.21101,0.2156,-0.027208,617.7084351,-6.72012,-0.32172,-0.80036,0.81486,-6.72012,,,,,,,,,,,,,,51,14402.5,18102,28440.5,0.471242842,0.591770906,0.772813896,12,32.86156288,-269.6558218,302.5173847,5626,0.029086531,0.009294961
HMWPNDNFTFSCEB-UHFFFAOYSA-N,C1OOCN2COOCN1COOC2,Test,-1.905036632,208.171,150.25,133.125,-796.248114,3.1058,0.23972,0.21284,-0.014787,340.4423523,-2.0485,0.33847,-0.58756,0.25105,-3.21968,,,,,,,,,,,,,,26,10600.5,11600.5,11937.5,0.906990202,0.947394048,0.97429306,2,15.71111763,-202.230019,217.9411366,6650,0.032773103,0.007505662
