StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,DeltaG_sol,solv_dip,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,,,,,,,,,,,,,,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
HEZNVIYQEUHLNI-UHFFFAOYSA-N,CCSCc1ccccc1OC(=O)NC,Train,-2.09,225.305,33.4,144.165,-1031.456196,-0.015197,3.6156,0.29685,0.24682,475.9816589,-1.26759,-2.20796,-0.70134,0.92555,-1.79809,,,,,,,,,,,,,,30,25321,26201.5,38859.5,0.498098859,0.511493276,0.872125135,7,-71.54145437,-230.9591376,159.4176832,2982,-0.033983466,0.00783574
HFHZKZSRXITVMK-UHFFFAOYSA-N,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(cc2)O)C1=O,Train,-3.73,324.3786,92,242.379,-1070.98746,-0.020955,4.8377,0.27553,0.24651,596.2441406,-2.00757,-2.74629,-0.71864,0.71804,-2.60939,,,,,,,,,,,,,,44,29817,41474,46591.5,0.467105452,0.682397938,0.752950745,4,18.35269875,-222.860287,241.2129857,7165,0.033665455,0.016054739
HKOOXMFOFWEVGF-UHFFFAOYSA-N,c1ccc(cc1)NN,Train,0.07,108.1426,19.5,96.582,-342.838077,-0.008359,1.0226,0.30423,0.23657,285.6184692,0,-1.20602,-0.74263,0.41972,-1.25221,,,,,,,,,,,,,,16,12289,16100,23638,0.485294118,0.620328842,0.774233277,5,25.34158453,-76.54438546,101.88597,2105,-0.031142377,0.007402334
HMIBKHHNXANVHR-UHFFFAOYSA-N,CN(C)C(=O)SCCCCOc1ccccc1,Test,-3.93,253.3586,40.5,191.362,-1110.010658,-0.012478,5.0067,0.31065,0.24578,524.4295654,-1.24426,-3.1575,-0.68979,0.53955,-1.58224,,,,,,,,,,,,,,36,19509,34010,46405,0.355916252,0.519108329,0.670849695,6,-43.3818044,-171.9402218,128.5584175,3715,0.031046477,0.005886627
HNDVDQJCIGZPNO-YFKPBYRVSA-N,O=C(O)[C@@H](N)Cc1[nH]cnc1,Train,-0.56543,155.156,282,136.557,-548.684848,-0.02677,11.1228,0.28414,0.26159,325.6269531,-1.37629,0.27151,-0.96055,0.8147,-3.4533,,,,,,,,,,,,,,20,17731,20737,23811.5,0.794811312,0.86789259,0.976415117,2,67.5185062,-305.0946459,372.6131521,6277,0.059361662,0.025008548
HORNXRXVQWOLPJ-UHFFFAOYSA-N,c1cc(cc(c1)O)Cl,Train,-0.7,128.5579,32.5,80.604,-767.019982,-0.007617,1.1731,0.28871,0.26725,282.5514526,-0.71877,-0.84559,-0.71877,0.52732,-0.73514,,,,,,,,,,,,,,13,12580.5,14585,23687.5,0.460732984,0.502857143,0.975660656,5,76.68500367,-31.15230233,107.837306,1431,0.053538928,0.024652383
HPXRVTGHNJAIIH-UHFFFAOYSA-N,C1CCC(CC1)O,Train,-0.44,100.1602,23.25,85.225,-310.963687,-0.005612,2.2163,0.31561,0.29541,280.6763,-0.81475,-2.32379,-0.81475,0.50731,-0.81475,,,,,,,,,,,,,,19,16120.5,16967,19846,0.756725798,0.816455696,0.913311403,3,-9.020995865,-53.73237601,44.71138015,1235,-0.043507997,0.013701627
HPYNZHMRTTWQTB-UHFFFAOYSA-N,Cc1cccnc1C,Train,0.38,107.1548,-17,89.811,-326.828582,-0.005738,3.2519,0.29097,0.27617,290.56604,0,-1.76998,-0.71722,0.25741,-0.4973,,,,,,,,,,,,,,17,13734,14410.5,23552,0.575418994,0.597701149,0.971751412,4,-3.382296723,-75.96862683,72.5863301,1801,-0.042181359,0.015154395
HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(=O)N,Train,0.970115,71.0786,84,59.134,-247.269475,-0.011922,5.1137,0.26759,0.29104,229.4373322,-0.70667,-0.05753,-0.84546,0.63655,-1.55213,,,,,,,,,,,,,,10,9554.5,12905.5,17583,0.483333333,0.635036496,0.868773828,1,13.93697424,0,13.93697424,5392,0.00258475,0.055091545
HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,Train,0.29,26.0378,-80.8,28.766,-77.32892,-0.002924,0,0.33402,0.32146,153.3953247,0,-0.52232,-0.26116,0.26116,0,,,,,,,,,,,,,,4,5938,9251.5,9316.5,0.642095255,0.647058824,1,3,22.68770041,-27.38102452,50.06872493,1152,-0.02376825,0.001658809
HUTDUHSNJYTCAR-UHFFFAOYSA-N,COc1ccc(cc1)C(C1CC1)(c1cncnc1)O,Train,-2.6,256.3036,110.5,212.178,-840.922872,-0.01299,7.2692,0.27239,0.26231,480.0740051,-1.33174,-1.89823,-0.78274,0.52069,-2.33652,,,,,,,,,,,,,,35,24702.5,31923.5,38524.5,0.503472222,0.663002162,0.68488535,6,68.66114797,-147.0047757,215.6659236,5426,0.031932274,0.006528043
HWHLPVGTWGOCJO-UHFFFAOYSA-N,c1ccc(cc1)C(CCN1CCCCC1)(C1CCCCC1)O,Train,-1.815,301.471,114.5,273.607,-910.365765,-0.008294,2.8411,0.2994,0.23095,563.4611206,-0.79353,-6.37285,-0.79353,0.50737,-1.35655,,,,,,,,,,,,,,53,33960,38017,42156,0.638154449,0.686146116,0.959344176,6,-8.771779836,-75.33432812,66.56254829,1592,0.02498447,0.00351114
HWWYDZCSSYKIAD-UHFFFAOYSA-N,Cc1cc(C)cnc1,Train,0.38,107.1548,-9,100.664,-326.82608,-0.006134,3.6535,0.29071,0.27558,295.6008911,0,-1.7488,-0.70502,0.25726,-0.48939,,,,,,,,,,,,,,17,11786.5,17432,23684.5,0.520202023,0.668976634,0.782828283,6,-22.55207067,-86.38635401,63.83428333,1905,-0.045347167,0.016233242
HYBBIBNJHNGZAN-UHFFFAOYSA-N,c1cc(C=O)oc1,Train,-0.1,96.0854,-36.83335,87.441,-343.322262,-0.008182,5.3145,0.24046,0.28543,251.094162,-1.05587,0.07093,-0.61046,0.35006,-1.05587,,,,,,,,,,,,,,11,10028.5,13616.5,19845.5,0.475409836,0.608391608,0.769732774,3,6.24530591,-105.4106841,111.6559901,2871,0.037703113,0.010470555
HYJSGOXICXYZGS-UHFFFAOYSA-N,c1cc(c2c(c1)sc(=O)n2CC(=O)O)Cl,Train,-2.61,243.6643,193,174.636,-1485.344975,-0.017185,8.9066,0.26227,0.28442,381.9944153,-1.96913,0.0873,-0.7078,0.81333,-2.04284,,,,,,,,,,,,,,21,19431,21615,33641,0.570948733,0.750321968,0.928345279,3,108.650064,-186.6533228,295.3033868,7340,0.040232069,0.015576461
HYVMOJOTZLNZPF-UHFFFAOYSA-N,C1CS(=O)(=O)c2cc(sc2C1=O)S(=O)(=O)N,Train,-3.671,281.316,266,181.939,-1896.196787,-0.027605,6.8553,0.19477,0.32019,423.7268982,-4.38425,-2.04026,-1.11863,2.31191,-0.38984,,,,,,,,,,,,,,23,19661,26213,34325,0.540423608,0.769007211,0.76943331,5,111.9637144,-258.8225875,370.7863019,7390,0.049920306,0.018929643
IAIWVQXQOWNYOU-UHFFFAOYSA-N,c1cc([N+](=O)[O-])oc1C=NNC(=O)N,Train,-2.92,198.1378,240,111.339,-751.974601,-0.022889,6.4576,0.1979,0.27648,387.242157,-2.00519,0.95293,-0.87329,0.79405,-3.10673,,,,,,,,,,,,,,20,11393.5,22532,34997,0.300341297,0.530247248,0.560509554,3,161.1096025,-245.722802,406.8324045,8848,0.045980154,0.019373652
IDCPFAYURAQKDZ-UHFFFAOYSA-N,C(=N)(N)N[N+](=O)[O-],Train,-1.37,104.0682,239,70.545,-409.82991,-0.018589,6.6867,0.22897,0.2919,245.2675476,-0.84821,0.56922,-0.86893,0.62833,-2.34483,,,,,,,,,,,,,,11,9805,13172.5,19566.5,0.462365591,0.601398601,0.769313262,3,66.77928157,-156.1518767,222.9311583,3523,0.063278785,0.03276135
IFEKQNAXDMZERW-UHFFFAOYSA-N,O=C(O)C(N)Cc1n[nH]c2c1cccc2,Train,-1.407,205.2158,240,144.466,-702.273113,-0.019847,8.2136,0.25938,0.26993,398.8522644,-1.41291,-0.6283,-0.92083,0.81084,-3.04542,,,,,,,,,,,,,,26,16236.5,25252.5,35538.5,0.445725793,0.634472064,0.765639903,4,58.83782342,-199.051476,257.8892994,6138,0.03862738,0.018969232
IGEMDIAQXSOCKX-UHFFFAOYSA-N,c1cc(ccc1O)S(=O)(=O)c1cc(sc1)S(=O)(=O)N,Train,-3.027,319.3648,193,186.598,-2011.683919,-0.027562,2.2948,0.24039,0.28532,492.1851501,-4.57257,-2.52889,-1.11859,2.30924,-0.59769,,,,,,,,,,,,,,28,24293.5,35778.5,35921,0.548172757,0.625619092,0.849673109,5,50.83940942,-288.7718055,339.611215,4797,0.05130743,0.023945366
IIZIPXWXNPFUOU-UHFFFAOYSA-N,CCN(CCO)C(=O)COC(=O)c1ccccc1,Train,-1.367,251.2816,79,218.939,-861.093696,-0.018591,7.6346,0.26011,0.28183,489.1829224,-2.72317,-1.37702,-0.82918,0.82508,-3.19745,,,,,,,,,,,,,,35,21502.5,35916,36708,0.517775496,0.589923466,0.964413599,3,-24.15926732,-315.384722,291.2254547,6307,0.039743932,0.011584102
IKECULIHBUCAKR-UHFFFAOYSA-N,CC(C)C(C)(C)O,Test,-0.41,102.176,-14,108.389,-312.153543,-0.005812,2.3347,0.3179,0.29604,293.6345825,-0.80773,-2.81991,-0.80773,0.50414,-0.80773,,,,,,,,,,,,,,21,16839,18297,20694,0.901089904,0.9354838,0.946499559,4,-7.276135799,-54.97285077,47.69671497,1263,-0.043525614,0.014293592
IMIDOCRTMDIQIJ-UHFFFAOYSA-N,Cc1cc(ccc1N(C)C)OC(=O)NC,Test,-2.36,208.2596,93.5,157.895,-688.585455,-0.012853,2.6258,0.30851,0.23142,449.6387634,-1.27508,-1.60665,-0.7098,0.93103,-2.4868,,,,,,,,,,,,,,31,18790.5,31349.5,35417.5,0.481494267,0.593959732,0.841792785,5,-89.17554487,-194.6103368,105.434792,2817,-0.056680307,0.021357897
IMMLSOUHQHJKTL-UHFFFAOYSA-N,CC(C(=O)OC)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(CC=CC=C1Cl)Cl,Train,-1.45272,467.348,481,257.235,-2258.452787,-0.020679,5.9812,0.2545,0.24461,699.114624,-3.0958,-2.17309,-0.70042,0.85012,-4.45042,,,,,,,,,,,,,,55,39993.5,48568,56710.5,0.664413776,0.74444361,0.938432801,13,-51.41643623,-284.8575586,233.4411224,3562,0.029557684,0.005717454
IMPKVMRTXBRHRB-UHFFFAOYSA-N,C1C(C(C(C(C1O)O)O)O)O,Train,-0.17,164.1578,236,103.807,-611.834397,-0.01897,4.8574,0.2949,0.30517,320.2976379,-3.98028,-0.33492,-0.80196,0.52405,-3.98028,,,,,,,,,,,,,,23,18039,20462.5,23573,0.842298275,0.883985825,0.924999974,8,93.18003778,-134.9354775,228.1155153,3843,0.056019112,0.02367551
IMWQMZMZPWIQBE-UHFFFAOYSA-N,CC(=NNC(=O)N)C=NNC(=O)N,Test,-1.948,186.173,255,135.358,-675.406638,-0.024754,9.8764,0.24641,0.25528,396.4159546,-1.43419,1.011,-0.88431,0.79399,-4.67893,,,,,,,,,,,,,,23,15470.5,22169.5,35434,0.36013986,0.539267016,0.64895764,6,5.024261952,-239.6610596,244.6853215,3150,-0.056928497,0.025579712
INWLQCZOYSRPNW-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)C1CCCCN1C,Train,-1.55,246.3516,150.25,236.531,-769.324601,-0.012221,4.258,0.30013,0.23331,476.7664795,-0.68837,-3.66773,-0.7045,0.68495,-1.9016,,,,,,,,,,,,,,40,23280.5,30620,42593,0.513678963,0.717626283,0.813632574,7,-16.61841236,-148.4034959,131.7850836,2927,0.038181302,0.017444566
IPEHBUMCGVEMRF-UHFFFAOYSA-N,c1cnc(cn1)C(=O)N,Train,-0.74,123.114,190,85.551,-432.986697,-0.012375,5.5678,0.23282,0.2898,281.4981995,-0.68459,0.72721,-0.8364,0.64444,-2.39404,,,,,,,,,,,,,,14,11181.5,15529,23828.5,0.412322275,0.550632911,0.808612453,6,20.37939856,-131.9729907,152.3523893,2234,0.036733,0.009746362
IQUPABOKLQSFBK-UHFFFAOYSA-N,c1ccc(c(c1)[N+](=O)[O-])O,Train,-1.74,139.1104,44.8,101.466,-511.932185,-0.008396,5.4221,0.20273,0.28806,288.7661743,-1.54934,-0.56906,-0.69224,0.53599,-1.05013,,,,,,,,,,,,,,15,12336.5,14605,25094,0.43718593,0.520710059,0.828733487,6,29.90494072,-108.8966295,138.8015702,3495,0.035730574,0.00855619
IRCMYGHHKLLGHV-UHFFFAOYSA-N,CCOC1C(C)(C)c2cc(ccc2O1)OS(=O)(=O)C,Train,-3.42,286.3422,71,227.918,-1280.264206,-0.01594,4.2971,0.29629,0.25325,524.5583496,-3.79654,-3.1096,-0.94906,2.3323,-1.46424,,,,,,,,,,,,,,37,24810,38463.5,39580,0.559715928,0.609696785,0.915973734,5,-86.25721602,-264.5117402,178.2545242,5897,-0.044855306,0.014990201
ISEUFVQQFVOBCY-UHFFFAOYSA-N,CC(C)Nc1nc(NC(C)C)nc(n1)OC,Train,-2.48,225.293,91.5,162.249,-741.326449,-0.011617,3.1321,0.3184,0.25876,491.2127075,-0.5423,-1.27405,-0.69126,0.75942,-3.73101,,,,,,,,,,,,,,35,22133.5,32572,38935,0.483182901,0.668278971,0.889626731,7,-85.34569604,-168.5927699,83.24707391,3681,-0.042490908,0.017164863
ISMYLNZMKJLINI-UHFFFAOYSA-N,CCn1c2cccnc2n(CC)c2c(cccn2)c1=O,Train,-2.86,268.3176,102.5,208.856,-875.26548,-0.011062,3.9515,0.2622,0.24405,480.7107239,-0.67019,-1.39772,-0.70258,0.69948,-2.61879,,,,,,,,,,,,,,36,26462,29064.5,42447.5,0.562059545,0.644389296,0.872656497,4,13.21469725,-136.7527553,149.9674526,3954,0.031217985,0.007717163
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,c1ccc(cc1)O,Test,0,94.1128,41.5,64.02,-307.412166,-0.007324,1.8713,0.30154,0.25697,257.9651184,-0.7281,-1.0602,-0.7281,0.52426,-0.7281,,,,,,,,,,,,,,13,11215,13430.5,21260.5,0.47027027,0.554140127,0.991783149,4,21.83714052,-66.24592022,88.08306074,2291,-0.028915722,0.007641119
ITEQSCBLCCNACE-UHFFFAOYSA-N,CC1(C)CC(=O)C=C(C1)OC(=O)N(C)C,Train,-0.85,211.2602,45.5,186.267,-709.659444,-0.014835,8.2749,0.26173,0.27257,443.2851563,-1.88437,-1.94366,-0.69378,0.93555,-2.37751,,,,,,,,,,,,,,32,20848,30350,33926,0.572783601,0.730814659,0.875841523,4,25.80164982,-205.7288479,231.5304978,6520,0.034101819,0.007270105
IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(cc1)O,Train,-0.7,108.1396,33,96.809,-346.705711,-0.007332,1.9119,0.30284,0.24802,289.1115417,-0.73137,-1.53791,-0.73137,0.52333,-0.73137,,,,,,,,,,,,,,16,11752.5,16503.5,23875.5,0.504551145,0.667364008,0.764705882,3,-4.397343759,-77.1629443,72.76560055,2540,-0.030379112,0.008498394
IWYDHOAUDWTVEP-UHFFFAOYSA-N,c1ccc(cc1)C(C(=O)O)O,Train,0.050732,152.1494,120,127.033,-535.266583,-0.014911,6.6835,0.27604,0.29553,330.9116211,-2.15422,-0.47694,-0.79839,0.81109,-2.15422,,,,,,,,,,,,,,19,16348,21821.5,24760.5,0.632255379,0.673062607,0.969491487,2,43.33587875,-172.6812585,216.0171372,5886,0.036700159,0.016578484
IYXGSMUGOJNHAZ-UHFFFAOYSA-N,CCOC(=O)CC(=O)OCC,Train,-0.82,160.1694,-50,132.369,-574.780192,-0.012135,3.7765,0.30908,0.31106,386.0081177,-2.3991,-0.66927,-0.71969,0.84123,-2.3991,,,,,,,,,,,,,,23,14323.5,27984.5,28111,0.464988435,0.488273219,0.952381015,5,-53.27077075,-174.5254949,121.2547242,3528,-0.049468678,0.015172777
JFCQEDHGNNZCLN-UHFFFAOYSA-N,C(CC(=O)O)CC(=O)O,Train,1,132.1158,96.5,105.949,-496.210739,-0.02464,2.4572,0.28885,0.32088,307.7828979,-2.73047,0.01768,-0.72871,0.83218,-2.73047,,,,,,,,,,,,,,17,14033,18964.5,22519.5,0.66035863,0.699110995,0.943204828,3,137.4134489,-203.5447702,340.9582191,6441,0.052935603,0.023097142
JFNWFXVFBDDWCX-UHFFFAOYSA-N,Cc1c(C)noc1N(C(=O)C)S(=O)(=O)c1ccc(cc1)N,Train,-3.59,309.3392,193.5,220.448,-1367.496917,-0.0245,5.0714,0.26336,0.25897,516.9658813,-2.84334,-2.08919,-0.94865,2.30453,-2.27733,,,,,,,,,,,,,,36,23543.5,35585,42928.5,0.554391938,0.576551078,0.944861322,4,-74.22619135,-372.7568812,298.5306899,7651,-0.048720021,0.015862217
JFSPBVWPKOEZCB-UHFFFAOYSA-N,Cc1c(cco1)C(=O)Nc1ccccc1,Train,-3.3,201.2244,109.5,160.945,-668.973388,-0.011682,4.6312,0.27679,0.25268,415.3181763,-1.14145,-1.2921,-0.73733,0.68122,-1.75544,,,,,,,,,,,,,,26,14825,23663.5,38129,0.384289537,0.600911338,0.611232894,3,18.55729836,-134.9334632,153.4907616,3860,0.039675659,0.016602225
JHIVVAPYMSGYDF-UHFFFAOYSA-N,C1CCC(=O)CC1,Train,-0.6,98.1444,-31,69.474,-309.790648,-0.007757,4.6376,0.28844,0.2727,275.7168884,-0.62239,-1.92061,-0.62239,0.60783,-0.62239,,,,,,,,,,,,,,17,15253,15790,20415,0.78266562,0.801282051,1,2,1.021320858,-111.9164547,112.9377756,4338,0.025992203,0.004727955
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,Test,-0.74,100.117,-71,84.461,-345.716177,-0.006894,3.1865,0.25882,0.30985,288.3949585,-1.21376,-0.75124,-0.71854,0.78904,-1.21376,,,,,,,,,,,,,,15,13466.5,17550,21172,0.565065951,0.801470599,0.806053652,4,-13.5044465,-86.17279732,72.66835082,1699,-0.050719716,0.014141274
JIVPVXMEBJLZRO-UHFFFAOYSA-N,c1ccc2c(c1)C(=O)NC2(c1ccc(c(c1)S(=O)(=O)N)Cl)O,Train,-3.38927,338.7649,239,208.786,-1808.717823,-0.027854,5.2044,0.24618,0.29354,514.914917,-3.35213,-0.96812,-1.12599,2.30316,-2.80986,,,,,,,,,,,,,,33,24805,35797.5,42213.5,0.589110572,0.654831114,0.856209867,6,105.7952799,-253.5841722,359.3794521,4082,0.046819345,0.021082591
JJYPMNFTHPTTDI-UHFFFAOYSA-N,Cc1cccc(c1)N,Train,-0.85,107.1548,-30,79.361,-326.827894,-0.007318,1.9104,0.3134,0.23154,295.324646,0,-1.68978,-0.87796,0.42172,-0.87796,,,,,,,,,,,,,,17,12956.5,16154.5,24625,0.51,0.609117346,0.938823553,3,-9.887242085,-84.1335139,74.24627181,1921,0.038649803,0.013472268
JLKIGFTWXXRPMT-UHFFFAOYSA-N,Cc1cc(no1)NS(=O)(=O)c1ccc(cc1)N,Test,-2.77844,253.2752,168,182.855,-1175.57856,-0.024183,9.4055,0.2835,0.25455,456.2866821,-2.27638,-1.57418,-0.97475,2.32689,-1.93021,,,,,,,,,,,,,,28,23288,32829.5,32922.5,0.543393249,0.774872296,0.953831976,4,-41.73607842,-364.8087545,323.0726761,6839,-0.053058709,0.020051631
JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,Train,-3.39,270.3458,129,186.045,-1201.256268,-0.022001,8.8726,0.27168,0.28725,524.9182739,-2.62327,-3.03937,-0.97287,2.33279,-1.89027,,,,,,,,,,,,,,36,23751,38961.5,39741,0.444909143,0.549785882,0.863369199,3,-10.27188051,-319.5861139,309.3142333,6476,0.040352273,0.021748538
JMMWKPVZQRWMSS-UHFFFAOYSA-N,CC(C)OC(=O)C,Train,-0.55,102.1328,-73,77.925,-346.934749,-0.006767,2.786,0.31968,0.30435,297.3306885,-1.23242,-1.3096,-0.77899,0.82857,-1.23242,,,,,,,,,,,,,,17,14445,19135,21417,0.633436393,0.752644084,0.893494604,7,-44.64326315,-87.60711746,42.9638543,1682,-0.049643556,0.014331422
JOMNTHCQHJPVAZ-UHFFFAOYSA-N,CC1CNCCN1,Train,0.74,100.1632,62,91.052,-307.114987,-0.00715,2.8902,0.31696,0.23981,278.4187622,0,-1.67941,-0.74241,0.40443,-1.48019,,,,,,,,,,,,,,19,15599.5,17659,19875.5,0.756189155,0.822298114,0.877604225,5,-5.384500729,-70.56229246,65.17779173,1056,0.02947625,0.007726722
JOYRKODLDBILNP-UHFFFAOYSA-N,CCOC(=O)N,Test,0.85,89.0938,49,71.267,-323.707092,-0.010348,3.1774,0.31692,0.30811,257.760376,-1.29755,0.07117,-0.88585,0.91998,-2.1834,,,,,,,,,,,,,,13,12183.5,15983.5,17985.5,0.613407153,0.657998814,0.87446364,4,-6.032310305,-102.3772429,96.34493255,1961,-0.051361275,0.01754144
JPLCQHHISLYGRA-UHFFFAOYSA-N,COc1ccc(cn1)NC(=O)C1CC1,Test,-2.138,192.217,130.5,132.528,-648.089851,-0.014046,6.0629,0.28405,0.24454,413.1203613,-1.24824,-0.81851,-0.6936,0.68646,-2.39609,,,,,,,,,,,,,,26,14685,26878.5,34692,0.392739274,0.518670281,0.731250044,4,-3.721386209,-185.4164139,181.6950277,4187,0.04311862,0.019514889
JQUIGGQYRQVIIE-UHFFFAOYSA-N,CC(=O)N(C)C(=O)COC(=O)c1ccccc1,Train,-0.495,235.239,102.5,150.199,-820.636583,-0.016957,4.4176,0.25517,0.29527,458.7335205,-2.42521,-0.4983,-0.7803,0.82577,-2.94231,,,,,,,,,,,,,,30,19194,34854.5,35681.5,0.490867699,0.525463383,0.862676365,4,15.6530379,-210.1879242,225.840962,4046,0.039840859,0.01241717
JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],Train,-0.8,89.0938,-108,73.632,-323.59127,-0.008698,5.0993,0.2336,0.33137,258.3860779,-0.81055,-1.48706,-0.69271,0.50206,-0.30849,,,,,,,,,,,,,,13,11682,15865,17699.5,0.649463209,0.695790293,0.924762105,2,59.60698905,-122.0845029,181.691492,5679,0.031971844,0.008052157
JTAGHJPZEDNHHA-UHFFFAOYSA-N,CNC(=O)c1cccc(c1)NCC(=O)NCCc1ccc(c(c1)OC)OC,Train,-1.845,371.4352,112.375,271.528,-1242.051085,-0.028694,9.0569,0.28226,0.23279,712.0881958,-2.5004,-2.25644,-0.70554,0.68285,-4.45022,,,,,,,,,,,,,,52,21156.5,43257,67103,0.261309494,0.486254859,0.527955753,5,70.8771108,-355.3182839,426.1953947,7764,0.039535156,0.018796161
JUHORIMYRDESRB-UHFFFAOYSA-N,c1ccc(cc1)CNCCNCc1ccccc1,Test,-1.206,240.3474,24,222.07,-730.987633,-0.010829,0.1416,0.30134,0.24122,525.7734985,0,-3.70368,-0.73093,0.39744,-1.46186,,,,,,,,,,,,,,38,23498.5,33884.5,44154,0.420762509,0.631342658,0.67126704,9,-7.846979648,-118.3721313,110.5251517,3619,0.027521438,0.008234873
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1,Test,0.76,79.1012,-42,74.901,-248.240025,-0.005686,3.2354,0.28026,0.28953,235.5770264,0,-0.75911,-0.49793,0.26071,-0.49793,,,,,,,,,,,,,,11,11116,11162,18442,0.557692308,0.567741935,0.987179487,2,15.22619721,-70.92042629,86.1466235,2885,0.029860181,0.005760066
JWUCHKBSVLQQCO-UHFFFAOYSA-N,c1ccc(c(c1)C(Cn1cncn1)(c1ccc(cc1)F)O)F,Train,-3.37,301.295,130,248.006,-1056.495127,-0.01496,3.9231,0.27648,0.28082,484.7045898,-0.77811,-1.0694,-0.77811,0.51729,-2.62685,,,,,,,,,,,,,,35,26640,31073.5,38315,0.699266142,0.833670066,0.889113381,8,72.63935868,-148.2054455,220.8448041,5491,0.035415165,0.010416315
JWUJQDFVADABEY-UHFFFAOYSA-N,CC1CCCO1,Train,0.11,86.1334,-136,89.703,-271.669481,-0.004323,2.2914,0.3301,0.28237,265.5760498,-0.6253,-1.75331,-0.69844,0.25159,-0.6253,,,,,,,,,,,,,,16,13150,16215.5,18209,0.70896717,0.816523322,0.902593006,4,-46.6153822,-61.8390611,15.22367891,1373,-0.045039374,0.014031454
JWZZKOKVBUJMES-UHFFFAOYSA-N,CC(C)NCC(c1ccc(c(c1)O)O)O,Train,0.14,211.2602,162,143.36,-709.625214,-0.018248,6.236,0.30399,0.23547,447.662323,-2.26736,-2.05507,-0.79632,0.53559,-2.99755,,,,,,,,,,,,,,32,23125,30295.5,33788,0.658445449,0.937395512,0.968987229,6,5.082600754,-210.6875655,215.7701662,5089,-0.040870123,0.012856993
JXCGFZXSOMJFOA-UHFFFAOYSA-N,Cc1ccc(cc1Cl)NC(=O)N(C)C,Train,-3.46,212.6785,148.1,164.564,-1033.699996,-0.012541,5.2306,0.2979,0.24668,424.4339905,-0.73127,-1.55546,-0.73127,0.82625,-1.91814,,,,,,,,,,,,,,27,15278.5,25821.5,37850.5,0.404477317,0.610581892,0.653428513,5,65.81165953,-147.5774568,213.3891163,5097,0.041414428,0.013875152
JXSJBGJIGXNWCI-UHFFFAOYSA-N,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,Train,-3.36264,330.3503,2.7889,230.565,-1981.473939,-0.019739,7.1621,0.29566,0.26826,560.1901245,-4.11746,-1.73206,-0.86885,1.67286,-3.05553,,,,,,,,,,,,,,38,31080.5,35381,44707,0.682222094,0.73673986,0.884551862,5,-80.62896913,-321.3959686,240.7669995,7336,-0.043724324,0.011374596
JYFHYPJRHGVZDY-UHFFFAOYSA-N,CCCCOP(=O)(O)OCCCC,Train,-1.087,210.2095,-13,157.247,-958.449369,-0.016182,5.5554,0.3073,0.32196,463.5078125,-3.93003,-3.54925,-1.13394,2.61597,-1.31406,,,,,,,,,,,,,,32,22227.5,29154.5,36128.5,0.486343663,0.639717715,0.723570899,3,-36.61304037,-183.1347184,146.521678,3718,0.026148205,0.003745371
JYVLIDXNZAXMDK-UHFFFAOYSA-N,CCCC(C)O,Train,-0.29,88.1492,-50,91.379,-272.866416,-0.006275,2.4154,0.32105,0.29807,286.0352478,-0.8121,-2.28643,-0.8121,0.50821,-0.8121,,,,,,,,,,,,,,18,13157,18584.5,21603.5,0.624365482,0.737497523,0.927083364,3,-10.50271345,-63.09531762,52.59260417,1491,0.034738502,0.015779656
JYYNAJVZFGKDEQ-UHFFFAOYSA-N,Cc1ccnc(C)c1,Test,0.38,107.1548,-60,99.998,-326.833499,-0.00825,3.475,0.28859,0.28141,298.2058105,0,-1.75704,-0.71326,0.2612,-0.51368,,,,,,,,,,,,,,17,12826.5,17377.5,23759,0.520171718,0.61220212,0.933465374,3,3.917488644,-75.07054688,78.98803553,1777,0.025295617,0.003177537
JZQKKSLKJUAGIC-UHFFFAOYSA-N,CC(C)NCC(COc1cccc2c1cc[nH]2)O,Train,-3.85453,248.3242,169,175.33,-805.231891,-0.013337,2.554,0.30564,0.2252,509.825592,-1.36009,-2.79211,-0.79692,0.51026,-2.65793,,,,,,,,,,,,,,38,26061,37539.5,39018.5,0.623813033,0.627224701,0.969491561,7,-51.66873383,-194.4672664,142.7985326,2686,-0.032245143,0.006948342
