StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,DeltaG_sol,LsoluHsolv,LsolvHsolu,SASA,Most_neg,Most_pos,O_charges,C_charges,Het_charges,solv_dip,,,,,,,,,,,,,,,,,,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol
GTCAXTIRRLKXRU-UHFFFAOYSA-N,O=C(OC)N,Train,0.97,75.067,56,62.312,-284.414689,-0.010545,0.31524,0.30983,226.4566956,-0.88185,0.91693,-1.29729,0.58591,-2.17914,3.3131,,,,,,,,,,,,,,,,,,0.599361716,0.761418878,0.768933281,3,-5.743368217,-102.0510676,96.30769943,1848,-0.055222439,0.016014652,,-279.1279558,-279.1308359,-0.00288016,-279.067077,-279.068997,-0.00192
GUGOEEXESWIERI-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCN(CCCC(O)c2ccc(C(C)(C)C)cc2)CC1,Test,-4.871,471.6814,147,327.584,-1448.757678,-0.031352,0.29164,0.22066,850.286499,-0.79362,0.51461,-1.57569,-8.33703,-2.13759,3.9841,,,,,,,,,,,,,,,,,,0.343978751,0.511340206,0.700099226,15,-69.44392071,-211.7036471,142.2597264,3578,-0.029963264,0.006443159,,-1422.308146,-1422.325872,-0.01772613,-1421.585411,-1421.605815,-0.020404
GVEPBJHOBDJJJI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cccc1,Train,-5.945064,202.255,108,135.942,-615.604724,-0.005912,0.24237,0.24707,398.3213806,-0.27232,0.25519,0,-2.52031,0,0.5381,,,,,,,,,,,,,,,,,,0.353413655,0.423076923,0.838709677,5,-1.204202399,-92.68590272,91.48170032,3353,0.024819656,0.002760247,,-604.2989316,-604.2960292,0.002902307,-604.095993,-604.093204,0.002789
GWDYJKXSUSPLEA-UHFFFAOYSA-N,O=c1nc(c2ccccc2)oc2c1cccc2,Train,-4.61,223.2306,123.5,145.63,-744.007494,-0.014284,0.23258,0.2889,424.4527893,-0.63842,0.66164,-1.11174,-0.68827,-1.6897,8.1423,,,,,,,,,,,,,,,,,,0.292358804,0.458333333,0.634982332,4,8.86150511,-200.6319102,209.4934153,6101,0.033289154,0.007827941,,-730.304588,-730.3064616,-0.001873552,-730.117134,-730.119185,-0.002051
GWOFUCIGLDBNKM-UHFFFAOYSA-N,Clc1cc2nccc(Nc3c(C(=O)OCC(O)CO)cccc3)c2cc1,Train,-4.55319,372.8073,169.5,264.782,-1604.65287,-0.017686,0.2329,0.2518,612.8497314,-0.82612,0.83606,-2.85383,-1.07954,-3.97592,9.4744,,,,,,,,,,,,,,,,,,0.517319977,0.569522115,0.79884366,6,162.4063794,-186.6441412,349.0505206,10070,0.033867306,0.00861805,,-1577.996867,-1578.008717,-0.01184993,-1577.66071,-1577.672692,-0.011982
GWUSZQUVEVMBPI-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=NCC(=O)N(C)c2cc1)c1ccccc1,Train,-3.8,295.297,156,236.27,-1007.198683,-0.018476,0.20562,0.28391,506.9263916,-0.64329,0.70102,-1.46011,-1.55559,-1.88127,3.1522,,,,,,,,,,,,,,,,,,0.622615455,0.628441266,0.916045829,3,150.5542511,-220.3350791,370.8893302,10444,0.035512192,0.011355794,,-988.6149553,-988.6237821,-0.008826842,-988.347126,-988.357977,-0.010851
GXEKYRXVRROBEV-UHFFFAOYSA-N,O=C(O)C1C(C(=O)O)C2OC1CC2,Train,-0.27,186.164,144,116.813,-686.896367,-0.0239,0.27791,0.30948,342.9440613,-0.73461,0.83122,-3.30243,0.0283,-3.30243,7.8063,,,,,,,,,,,,,,,,,,0.826068168,0.891682662,0.938849204,3,141.4146413,-222.2647497,363.6793911,7775,0.046775484,0.024376751,,-674.3065829,-674.3246138,-0.018030945,-674.129248,-674.145696,-0.016448
GYFAGKUZYNFMBN-UHFFFAOYSA-N,c12c3c4c5c6c1c(ccc2ccc3ccc4ccc5)ccc6,Train,-9.030118,276.3368,278,184.135,-845.458197,-0.007052,0.24608,0.226,460.6960754,-0.2654,0.25421,0,-2.93873,0,0.0977,,,,,,,,,,,,,,,,,,0.335877883,0.374468085,0.892286802,3,-4.660049983,-121.872467,117.2124171,4700,0.024938812,0.003070193,,-829.9648052,-829.9621508,0.002654429,-829.695852,-829.693445,0.002407
GYMFBYTZOGMSQJ-UHFFFAOYSA-N,Cc1cc2c(cc3c(c2)cccc3)cc1,Train,-6.959999,192.2598,205,174.796,-578.68839,-0.005409,0.25072,0.22441,409.2254028,-0.70169,0.25281,0,-2.99799,0,0.8214,,,,,,,,,,,,,,,,,,0.357894737,0.581368201,0.606882661,9,-27.31819746,-87.73394334,60.41574589,1784,-0.024637273,0.001986379,,-568.0516461,-568.0479582,0.003687928,-567.830037,-567.826552,0.003485
GYTMHWVFKHLDEA-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(C)cc2)c1,Train,-4.449,281.3438,176,199.886,-1540.510157,-0.020008,0.2324,0.28571,486.0562134,-1.11912,2.30724,-2.53133,-2.50792,-0.77324,7.2087,,,,,,,,,,,,,,,,,,0.424482981,0.629136369,0.640342604,5,57.40433974,-234.2169629,291.6213027,4747,0.042285239,0.019384353,,-1516.457498,-1516.47318,-0.01568161,-1516.257979,-1516.272798,-0.014819
HAPOJKSPCGLOOD-UHFFFAOYSA-N,c12c(cc3c(c4c(cccc4)C3)c1)cccc2,Train,-8.040005,216.2818,212,144.795,-654.897214,-0.006263,0.26229,0.23769,431.3045959,-0.48913,0.27686,0,-3.05789,0,1.0009,,,,,,,,,,,,,,,,,,0.340983607,0.566666667,0.579855992,8,-2.122995856,-87.49351652,85.37052066,2095,0.023647714,0.00233573,,-642.8840178,-642.8810201,0.002997713,-642.648771,-642.645958,0.002813
HAXBIWFMXWRORI-UHFFFAOYSA-N,c12c3cccc1c1c(c2ccc3)cc2c(c1)cccc2,Train,-8.489991,252.3148,216,181.974,-769.211945,-0.00704,0.2444,0.2327,462.9644775,-0.24894,0.25514,0,-2.99143,0,0.4191,,,,,,,,,,,,,,,,,,0.292358804,0.417061599,0.69,5,5.87089109,-109.9700859,115.8409769,4130,0.025061699,0.002916618,,-755.0945544,-755.0913138,0.003240606,-754.840694,-754.837575,0.003119
HCFSGRMEEXUOSS-UHFFFAOYSA-N,O=C(C)C1(C)C2(C)C(C3C=C(C)C4=CC(=O)CCC4(C)C3CC2)CC1,Train,-5.27,340.5046,144,242.567,-1045.64221,-0.016317,0.22904,0.23468,552.105896,-0.78133,0.62383,-1.24595,-6.77474,-1.24595,7.348,,,,,,,,,,,,,,,,,,0.561392952,0.602583252,0.924401962,4,104.9733516,-196.4902393,301.4635909,10932,0.027576252,0.005163162,,-1026.598785,-1026.597325,0.00145964,-1026.044448,-1026.042746,0.001702
HDWIHXWEUNVBIY-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(Cc3ccccc3)NS(=O)(=O)c2c1,Train,-3.59,421.4085,214,225.052,-2140.794187,-0.032815,0.24342,0.27532,595.7062378,-1.13258,2.30702,-3.82735,-1.52246,-2.96669,11.107,,,,,,,,,,,,,,,,,,0.481952758,0.668294461,0.730931378,4,177.7002311,-377.9018638,555.6020949,10445,0.044995457,0.017220676,,-2105.531541,-2105.568091,-0.03654963,-2105.251959,-2105.287826,-0.035867
HDZGCSFEDULWCS-UHFFFAOYSA-N,N(N)C,Train,1.34,46.0718,-52.2222,45.443,-151.127883,-0.007572,0.32547,0.23176,197.1527557,-0.78317,0.40059,0,-0.49789,-1.3701,0.3804,,,,,,,,,,,,,,,,,,0.675148862,0.75,0.944933969,3,8.58959304,-61.4392846,70.02887764,2072,0.033797721,0.008469768,,-148.3285514,-148.3334757,-0.004924295,-148.25753,-148.262496,-0.004966
HEZNVIYQEUHLNI-UHFFFAOYSA-N,S(CC)Cc1c(OC(=O)NC)cccc1,Train,-2.09,225.305,33.4,144.165,-1031.456196,-0.015197,0.29685,0.24682,475.9816589,-0.70134,0.92555,-1.26759,-2.20796,-1.79809,3.6156,,,,,,,,,,,,,,,,,,0.498098859,0.511493276,0.872125135,7,-71.54145437,-230.9591376,159.4176832,2982,-0.033983466,0.00783574,,-1014.799834,-1014.800391,-0.00055786,-1014.553825,-1014.555685,-0.00186
HFBWPRKWDIRYNX-UHFFFAOYSA-N,Clc1nc(N(CC)CC)nc(NCC)n1,Train,-4.06,229.7119,101,177.036,-1086.410281,-0.01008,0.29186,0.26146,471.7125244,-0.70617,0.6363,0,-1.21452,-2.93133,6.2496,,,,,,,,,,,,,,,,,,0.485363249,0.578101755,0.914463396,6,-39.77482609,-191.3447848,151.5699587,4702,-0.040198451,0.010916558,,-1069.286235,-1069.295406,-0.00917138,-1069.025774,-1069.036177,-0.010403
HFHZKZSRXITVMK-UHFFFAOYSA-N,O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccc(O)cc1,Test,-3.73,324.3786,92,242.379,-1070.98746,-0.020955,0.27553,0.24651,596.2441406,-0.71864,0.71804,-2.00757,-2.74629,-2.60939,4.8377,,,,,,,,,,,,,,,,,,0.467105452,0.682397938,0.752950745,4,18.35269875,-222.860287,241.2129857,7165,0.033665455,0.016054739,,-1051.332045,-1051.331035,0.00101006,-1050.961726,-1050.962238,-0.000512
HHMCAJWVGYGUEF-UHFFFAOYSA-N,FC(F)(F)c1cc([N+](=O)[O-])c(Oc2ccc([N+](=O)[O-])cc2)cc1,Train,-5.22,328.2039,94,209.953,-1284.475469,-0.019119,0.19671,0.30933,507.5221863,-0.48743,1.09743,-2.08747,0.18416,-2.17321,4.1334,,,,,,,,,,,,,,,,,,0.454517161,0.596965264,0.702568521,3,282.395446,-186.4129332,468.8083792,11162,0.042000392,0.014683793,,-1260.839153,-1260.844333,-0.00518057,-1260.659653,-1260.667463,-0.00781
HHOSMYBYIHNXNO-UHFFFAOYSA-N,C(CCC(C)C)(C)(C)C,Train,-5.05,128.257,-105.85,170.033,-354.798548,-0.001128,0.32172,0.32567,368.6878662,-0.68199,0.23634,0,-4.68649,0,0.1127,,,,,,,,,,,,,,,,,,0.609201733,0.657875561,0.973451356,0,0,0,0,0,0,0,,-348.3589031,-348.3531515,0.005751612,-348.064631,-348.059293,0.005338
HJUFTIJOISQSKQ-UHFFFAOYSA-N,O=C(OCC)NCCOc1ccc(Oc2ccccc2)cc1,Train,-4.69948,301.3414,53.25,210.314,-1014.678333,-0.01511,0.29322,0.24436,602.6848755,-0.71863,0.93282,-2.3879,-1.89996,-3.06708,4.1126,,,,,,,,,,,,,,,,,,0.356478646,0.400429014,0.839191773,11,-9.78097935,-178.5045653,168.7235859,3392,-0.027015237,0.005823909,,-996.0527894,-996.0558188,-0.003029349,-995.71269,-995.711834,0.000856
HKMTVMBEALTRRR-UHFFFAOYSA-N,c12c(ccc3c4c(cccc4)Cc13)cccc2,Train,-6.679999,216.2818,188.5,134.984,-654.896563,-0.00623,0.26454,0.23563,425.7159424,-0.49311,0.27852,0,-3.06831,0,0.7984,,,,,,,,,,,,,,,,,,0.344297906,0.559782609,0.610633484,7,7.139248075,-82.70776072,89.8470088,2450,0.023854667,0.002555144,,-642.8822553,-642.8793387,0.002916602,-642.647031,-642.644381,0.00265
HKOOXMFOFWEVGF-UHFFFAOYSA-N,N(N)c1ccccc1,Train,0.07,108.1426,19.5,96.582,-342.838077,-0.008359,0.30423,0.23657,285.6184692,-0.74263,0.41972,0,-1.20602,-1.25221,1.0226,,,,,,,,,,,,,,,,,,0.485294118,0.620328842,0.774233277,5,25.34158453,-76.54438546,101.88597,2105,-0.031142377,0.007402334,,-336.5009895,-336.5047747,-0.00378526,-336.377573,-336.381509,-0.003936
HKPHPIREJKHECO-UHFFFAOYSA-N,ClCC(=O)N(COCCCC)c1c(CC)cccc1CC,Train,-4.1915,311.8509,-2.8,245.969,-1328.567268,-0.014671,0.27591,0.26747,569.6134644,-0.68713,0.68081,-1.25892,-4.46573,-1.84384,4.5589,,,,,,,,,,,,,,,,,,0.548867295,0.739556189,0.763282653,7,-25.2585974,-197.941718,172.6831206,4978,0.032300414,0.009424954,,-1307.075175,-1307.077563,-0.00238717,-1306.644807,-1306.648014,-0.003207
HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)cc(c1Cl)c1ccccc1,Train,-7.160001,291.9914,91,225.678,-2301.588274,-0.005156,0.25998,0.27996,442.2168274,-0.2423,0.27958,0,-1.75834,0.19972,3.6494,,,,,,,,,,,,,,,,,,0.5,0.654827946,0.719853811,5,105.5426915,-9.540226444,115.0829179,4062,0.02833159,0.004521229,,-2270.632081,-2270.633928,-0.00184747,-2270.509745,-2270.511633,-0.001888
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,OCCCCCCCCCCCCCC,Train,-6.105868,214.3904,38.75,230.99,-626.458159,-0.007425,0.31834,0.30201,577.6259766,-0.81235,0.51166,-0.81235,-6.37307,-0.81235,2.2722,,,,,,,,,,,,,,,,,,0.218947368,0.235789472,0.921052632,2,-22.04522562,-65.79135019,43.74612458,1482,-0.044393624,0.013892182,,-615.0883039,-615.087989,0.000314992,-614.628691,-614.628326,0.000365
HMIBKHHNXANVHR-UHFFFAOYSA-N,S(C(=O)N(C)C)CCCCOc1ccccc1,Train,-3.93,253.3586,40.5,191.362,-1110.010658,-0.012478,0.31065,0.24578,524.4295654,-0.68979,0.53955,-1.24426,-3.1575,-1.58224,5.0067,,,,,,,,,,,,,,,,,,0.355916252,0.519108329,0.670849695,6,-43.3818044,-171.9402218,128.5584175,3715,0.031046477,0.005886627,,-1091.943959,-1091.94378,0.00017887,-1091.631375,-1091.630152,0.001223
HMSWAIKSFDFLKN-UHFFFAOYSA-N,C(CCCCCCCCCCCCC)CCCCCCCCCCCC,Train,-8.330032,366.7126,56.5,402.717,-1022.703561,-0.002069,0.33272,0.30957,951.7295532,-0.6882,0.23772,0,-12.43289,0,0,,,,,,,,,,,,,,,,,,0.145586773,0.159090909,0.229437229,0,0,0,0,0,0,0,,-1004.221226,-1004.210813,0.01041229,-1003.37436,-1003.365891,0.008469
HNDVDQJCIGZPNO-YFKPBYRVSA-N,O=C(O)[C@@H](N)Cc1[nH]cnc1,Train,-0.56543,155.156,282,136.557,-548.684848,-0.02677,0.28414,0.26159,325.6269531,-0.96055,0.8147,-1.37629,0.27151,-3.4533,11.1228,,,,,,,,,,,,,,,,,,0.794811312,0.86789259,0.976415117,2,67.5185062,-305.0946459,372.6131521,6277,0.059361662,0.025008548,,-538.5406449,-538.5609709,-0.020325979,-538.388186,-538.408673,-0.020487
HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1NCCC1,Train,1.07,85.1054,24,66.152,-286.574021,-0.012064,0.3159,0.2775,248.3931122,-0.71392,0.68555,-0.71392,-0.6132,-1.37125,5.9603,,,,,,,,,,,,,,,,,,0.719287752,0.763157895,0.995412839,2,36.40187054,-144.7297099,181.1315805,5360,0.033793205,0.00971512,,-281.2915934,-281.2956742,-0.004080845,-281.18977,-281.19428,-0.00451
HOQADATXFBOEGG-UHFFFAOYSA-N,S=P(OCC)(Oc1c(C(=O)OC(C)C)cccc1)NC(C)C,Train,-4.19,345.3927,-12,256.144,-1681.06488,-0.014258,0.26109,0.25488,605.788147,-1.08659,2.04304,-2.88445,-3.60637,-2.58261,7.1649,,,,,,,,,,,,,,,,,,0.747160396,0.780296382,0.887059544,6,-102.7270419,-259.6166206,156.8895787,5658,-0.045435757,0.012917233,,-1654.254577,-1654.252258,0.00231957,-1653.857885,-1653.853802,0.004083
HORNXRXVQWOLPJ-UHFFFAOYSA-N,Clc1cc(O)ccc1,Train,-0.7,128.5579,32.5,80.604,-767.019982,-0.007617,0.28871,0.26725,282.5514526,-0.71877,0.52732,-0.71877,-0.84559,-0.73514,1.1731,,,,,,,,,,,,,,,,,,0.460732984,0.502857143,0.975660656,5,76.68500367,-31.15230233,107.837306,1431,0.053538928,0.024652383,,-755.734462,-755.7386856,-0.00422358,-755.656652,-755.660981,-0.004329
HPQURZRDYMUHJI-UHFFFAOYSA-N,C(CCC1CCCC1)CC,Train,-6.08,140.268,-83,137.459,-392.895556,-0.001043,0.32796,0.32419,397.4005127,-0.6881,0.24318,0,-4.68709,0,0.1426,,,,,,,,,,,,,,,,,,0.436619718,0.517785448,0.897664868,0,0,0,0,0,0,0,,-385.7913508,-385.7870451,0.004305669,-385.487509,-385.483031,0.004478
HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,Train,-0.44,100.1602,23.25,85.225,-310.963687,-0.005612,0.31561,0.29541,280.6763,-0.81475,0.50731,-0.81475,-2.32379,-0.81475,2.2163,,,,,,,,,,,,,,,,,,0.756725798,0.816455696,0.913311403,3,-9.020995865,-53.73237601,44.71138015,1235,-0.043507997,0.013701627,,-305.3093935,-305.3125318,-0.003138305,-305.131359,-305.134647,-0.003288
HPYNZHMRTTWQTB-UHFFFAOYSA-N,Cc1c(C)cccn1,Train,0.38,107.1548,-17,89.811,-326.828582,-0.005738,0.29097,0.27617,290.56604,-0.71722,0.25741,0,-1.76998,-0.4973,3.2519,,,,,,,,,,,,,,,,,,0.575418994,0.597701149,0.971751412,4,-3.382296723,-75.96862683,72.5863301,1801,-0.042181359,0.015154395,,-320.8069289,-320.8087959,-0.001867024,-320.6683,-320.670173,-0.001873
HRBKVYFZANMGRE-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c(OP(=S)(OC)OC)n1,Train,-4.82,322.53,46,224.486,-2671.504181,-0.010249,0.24593,0.27989,459.7139282,-0.85868,2.09562,-2.51559,-0.35481,-1.36074,3.0827,,,,,,,,,,,,,,,,,,0.561066347,0.665595899,0.959696643,7,11.02028101,-126.0196244,137.0399054,3912,-0.032187855,0.006147063,,-2634.937503,-2634.940869,-0.0033662,-2634.81751,-2634.820215,-0.002705
HRPVXLWXLXDGHG-UHFFFAOYSA-N,O=C(N)C=C,Test,0.970115,71.0786,84,59.134,-247.269475,-0.011922,0.26759,0.29104,229.4373322,-0.84546,0.63655,-0.70667,-0.05753,-1.55213,5.1137,,,,,,,,,,,,,,,,,,0.483333333,0.635036496,0.868773828,1,13.93697424,0,13.93697424,5392,0.00258475,0.055091545,,-242.631141,-242.6335662,-0.00242518,-242.568728,-242.571491,-0.002763
HRVUKLBFRPWXPJ-UHFFFAOYSA-N,Clc1c(Cl)cc(Cl)c2Oc3c(Oc12)cccc3,Test,-7.596665,287.5293,128,169.202,-1991.22746,-0.005512,0.26833,0.25102,431.7147217,-0.48789,0.30172,-0.97573,-0.48265,-0.85419,3.0269,,,,,,,,,,,,,,,,,,0.3125,0.408256881,0.892099957,7,70.82046349,-26.28219114,97.10265463,2590,0.029363353,0.004647677,,-1963.189742,-1963.192419,-0.00267745,-1963.070564,-1963.073324,-0.00276
HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,Train,0.29,26.0378,-80.8,28.766,-77.32892,-0.002924,0.33402,0.32146,153.3953247,-0.26116,0.26116,0,-0.52232,0,0,,,,,,,,,,,,,,,,,,0.642095255,0.647058824,1,3,22.68770041,-27.38102452,50.06872493,1152,-0.02376825,0.001658809,,-75.85201513,-75.84823003,0.003785098,-75.839422,-75.835682,0.00374
HUPFGZXOMWLGNK-UHFFFAOYSA-N,Fc1c(c2cc(C(=O)O)c(O)cc2)ccc(F)c1,Train,-4.114,250.2012,210.25,151.844,-925.480582,-0.014372,0.24048,0.26854,426.2732239,-0.7124,0.82288,-2.0763,0.11735,-2.78207,4.9877,,,,,,,,,,,,,,,,,,0.422746256,0.622179823,0.64796481,5,142.5241584,-116.8392782,259.3634366,4163,0.049628986,0.024125494,,-908.4913646,-908.4969979,-0.005633298,-908.321957,-908.32713,-0.005173
HUTDUHSNJYTCAR-UHFFFAOYSA-N,O(C)c1ccc(C(O)(c2cncnc2)C2CC2)cc1,Train,-2.6,256.3036,110.5,212.178,-840.922872,-0.01299,0.27239,0.26231,480.0740051,-0.78274,0.52069,-1.33174,-1.89823,-2.33652,7.2692,,,,,,,,,,,,,,,,,,0.503472222,0.663002162,0.68488535,6,68.66114797,-147.0047757,215.6659236,5426,0.031932274,0.006528043,,-825.485812,-825.4971049,-0.011292885,-825.197314,-825.208685,-0.011371
HWHLPVGTWGOCJO-UHFFFAOYSA-N,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,Train,-1.815,301.471,114.5,273.607,-910.365765,-0.008294,0.2994,0.23095,563.4611206,-0.79353,0.50737,-0.79353,-6.37285,-1.35655,2.8411,,,,,,,,,,,,,,,,,,0.638154449,0.686146116,0.959344176,6,-8.771779836,-75.33432812,66.56254829,1592,0.02498447,0.00351114,,-893.8390568,-893.8451994,-0.006142651,-893.313927,-893.320204,-0.006277
HWWYDZCSSYKIAD-UHFFFAOYSA-N,Cc1cc(C)cnc1,Train,0.38,107.1548,-9,100.664,-326.82608,-0.006134,0.29071,0.27558,295.6008911,-0.70502,0.25726,0,-1.7488,-0.48939,3.6535,,,,,,,,,,,,,,,,,,0.520202023,0.668976634,0.782828283,6,-22.55207067,-86.38635401,63.83428333,1905,-0.045347167,0.016233242,,-320.8063749,-320.8086799,-0.002304977,-320.668024,-320.670229,-0.002205
HYBBIBNJHNGZAN-UHFFFAOYSA-N,O=Cc1occc1,Train,-0.1,96.0854,-36.83335,87.441,-343.322262,-0.008182,0.24046,0.28543,251.094162,-0.61046,0.35006,-1.05587,0.07093,-1.05587,5.3145,,,,,,,,,,,,,,,,,,0.475409836,0.608391608,0.769732774,3,6.24530591,-105.4106841,111.6559901,2871,0.037703113,0.010470555,,-336.9788128,-336.976163,0.002649809,-336.916704,-336.91419,0.002514
HYIMSNHJOBLJNT-UHFFFAOYSA-N,O=[N+]([O-])c1c(C2C(=C(C)NC(=C2C(=O)OC)C)C(=O)OC)cccc1,Train,-4.63622,346.339,174,218.401,-1219.19043,-0.020576,0.22775,0.24839,548.0637817,-0.71454,0.80158,-3.26333,-1.47607,-3.33158,7.9281,,,,,,,,,,,,,,,,,,0.852300023,0.940089987,0.943806153,4,14.5530931,-284.5447967,299.0978898,7332,0.040793493,0.019206478,,-1196.732191,-1196.738278,-0.00608727,-1196.390292,-1196.397336,-0.007044
HYJSGOXICXYZGS-UHFFFAOYSA-N,Clc1c2n(CC(=O)O)c(=O)sc2ccc1,Train,-2.61,243.6643,193,174.636,-1485.344975,-0.017185,0.26227,0.28442,381.9944153,-0.7078,0.81333,-1.96913,0.0873,-2.04284,8.9066,,,,,,,,,,,,,,,,,,0.570948733,0.750321968,0.928345279,3,108.650064,-186.6533228,295.3033868,7340,0.040232069,0.015576461,,-1463.162832,-1463.172209,-0.00937674,-1463.039995,-1463.048111,-0.008116
HYVMOJOTZLNZPF-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCS(=O)(=O)c2c1,Test,-3.671,281.316,266,181.939,-1896.196787,-0.027605,0.19477,0.32019,423.7268982,-1.11863,2.31191,-4.38425,-2.04026,-0.38984,6.8553,,,,,,,,,,,,,,,,,,0.540423608,0.769007211,0.76943331,5,111.9637144,-258.8225875,370.7863019,7390,0.049920306,0.018929643,,-1867.625367,-1867.663403,-0.03803552,-1867.497505,-1867.536325,-0.03882
HYWYRSMBCFDLJT-UHFFFAOYSA-N,S(=O)(=O)(Nc1c(Oc2ccccc2)cc([N+](=O)[O-])cc1)C,Train,-4.489,308.3082,143.375,236.387,-1386.123448,-0.021609,0.21291,0.27823,519.1553955,-0.96379,2.2972,-3.30202,-2.11158,-1.39533,7.1097,,,,,,,,,,,,,,,,,,0.572403802,0.699366473,0.994709861,4,150.9808755,-256.7988151,407.7796907,10109,0.040247742,0.014325331,,-1362.569703,-1362.58777,-0.01806694,-1362.338927,-1362.35494,-0.016013
IAIWVQXQOWNYOU-UHFFFAOYSA-N,O=[N+]([O-])c1oc(C=NNC(=O)N)cc1,Train,-2.92,198.1378,240,111.339,-751.974601,-0.022889,0.1979,0.27648,387.242157,-0.87329,0.79405,-2.00519,0.95293,-3.10673,6.4576,,,,,,,,,,,,,,,,,,0.300341297,0.530247248,0.560509554,3,161.1096025,-245.722802,406.8324045,8848,0.045980154,0.019373652,,-738.0090469,-738.0163395,-0.007292531,-737.892084,-737.899853,-0.007769
IAKOZHOLGAGEJT-UHFFFAOYSA-N,ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1,Train,-6.589107,345.6523,87,249.92,-2149.547435,-0.012285,0.26974,0.24801,550.27948,-0.55021,0.31882,-1.09965,-2.66627,-1.03046,3.3497,,,,,,,,,,,,,,,,,,0.503805347,0.623211054,0.794510106,4,-8.722424363,-192.8264342,184.1040098,6106,-0.027101212,0.00443517,,-2118.609961,-2118.61008,-0.00011851,-2118.336384,-2118.336923,-0.000539
IDCPFAYURAQKDZ-UHFFFAOYSA-N,O=[N+]([O-])NC(=N)N,Test,-1.37,104.0682,239,70.545,-409.82991,-0.018589,0.22897,0.2919,245.2675476,-0.86893,0.62833,-0.84821,0.56922,-2.34483,6.6867,,,,,,,,,,,,,,,,,,0.462365591,0.601398601,0.769313262,3,66.77928157,-156.1518767,222.9311583,3523,0.063278785,0.03276135,,-402.1476469,-402.1589558,-0.011308889,-402.092478,-402.104765,-0.012287
IDOWTHOLJBTAFI-UHFFFAOYSA-N,O=C(OC)Nc1cc(OC(=O)Nc2cc(C)ccc2)ccc1,Train,-4.789885,300.3134,142.5,186.598,-1029.596149,-0.019144,0.292,0.25461,572.0317383,-0.70232,0.94369,-2.49948,-0.67544,-3.78042,3.9757,,,,,,,,,,,,,,,,,,0.549058974,0.740274019,0.817088283,6,-10.78401161,-214.0174227,203.2334111,3339,-0.038934038,0.017751247,,-1010.637685,-1010.638471,-0.00078609,-1010.335414,-1010.337152,-0.001738
IFEKQNAXDMZERW-UHFFFAOYSA-N,O=C(O)C(N)Cc1n[nH]c2c1cccc2,Train,-1.407,205.2158,240,144.466,-702.273113,-0.019847,0.25938,0.26993,398.8522644,-0.92083,0.81084,-1.41291,-0.6283,-3.04542,8.2136,,,,,,,,,,,,,,,,,,0.445725793,0.634472064,0.765639903,4,58.83782342,-199.051476,257.8892994,6138,0.03862738,0.018969232,,-689.332565,-689.3451257,-0.012560704,-689.130219,-689.143107,-0.012888
IFLREYGFSNHWGE-UHFFFAOYSA-N,c12c(cc3c(c1)cccc3)cc1c(c2)cccc1,Train,-8.59998,228.2928,350,160.82,-692.992094,-0.0066,0.23159,0.21348,441.3423767,-0.24864,0.25338,0,-2.98723,0,0.0003,,,,,,,,,,,,,,,,,,0.278846159,0.511627907,0.544871804,6,10.08117823,-93.34488444,103.4260627,2156,-0.022492554,0.001141766,,-680.2454456,-680.2418906,0.003555032,-680.005865,-680.002427,0.003438
IGEMDIAQXSOCKX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(S(=O)(=O)c2ccc(O)cc2)c1,Test,-3.027,319.3648,193,186.598,-2011.683919,-0.027562,0.24039,0.28532,492.1851501,-1.11859,2.30924,-4.57257,-2.52889,-0.59769,2.2948,,,,,,,,,,,,,,,,,,0.548172757,0.625619092,0.849673109,5,50.83940942,-288.7718055,339.611215,4797,0.05130743,0.023945366,,-1980.969356,-1981.006502,-0.03714575,-1980.804884,-1980.841189,-0.036305
